Killer has cost: 3 hp: 3 max Damage: 2 attack range: 2 move speed: 13 attack speed: 1
Killer has cost: 2 hp: 3 max Damage: 2 attack range: 2 move speed: 13 attack speed: 1
Killer has cost: 3 hp: 3 max Damage: 2 attack range: 2 move speed: 13 attack speed: 1
Killer has cost: 3 hp: 3 max Damage: 2 attack range: 2 move speed: 13 attack speed: 1
Killer has cost: 3 hp: 3 max Damage: 2 attack range: 3 move speed: 13 attack speed: 1
Killer has cost: 3 hp: 3 max Damage: 2 attack range: 3 move speed: 13 attack speed: 1
Killer has cost: 3 hp: 4 max Damage: 2 attack range: 3 move speed: 13 attack speed: 1
Killer has cost: 3 hp: 5 max Damage: 2 attack range: 3 move speed: 13 attack speed: 1
Killer has cost: 3 hp: 4 max Damage: 2 attack range: 3 move speed: 13 attack speed: 1
Killer has cost: 3 hp: 4 max Damage: 3 attack range: 3 move speed: 13 attack speed: 1
Killer has cost: 3 hp: 4 max Damage: 4 attack range: 3 move speed: 13 attack speed: 1
Killer has cost: 3 hp: 4 max Damage: 3 attack range: 3 move speed: 13 attack speed: 1
Killer has cost: 2 hp: 4 max Damage: 3 attack range: 3 move speed: 13 attack speed: 1
