
New Unit
3 | 4 | 1 | 3 | 7 | 7 | 3 | 2
1 | 3 | 4 | 1 | 3 | 7 | 7 | 0 | 1 | 0.9187314 | 0.085397996 | 1 | 0 | 0.8333334 | 3 | 0 | 0 | 1 | 2
2 | 3 | 4 | 1 | 3 | 7 | 10 | 0 | 0 | 1.3597286 | 0.35972852 | 1 | 0 | 1.0 | 0 | 2 | 0 | 1 | 1
3 | 3 | 4 | 1 | 3 | 10 | 10 | 0 | 3 | 1.8999 | 0.8998999 | 1 | 0 | 1.0 | 2 | 0 | 0 | 1 | 1
New Unit
3 | 3 | 3 | 3 | 13 | 5 | 1 | 3
4 | 3 | 4 | 1 | 3 | 10 | 10 | 0 | 3 | 0.0 | 0.8998999 | 1 | 0 | 1.0 | 2 | 0 | 0 | 1 | 1
5 | 2 | 3 | 3 | 3 | 13 | 5 | 0 | 2 | 1.2409066 | 0.2409066 | 2 | 0 | 1.0 | 1 | 1 | 0 | 1 | 1
New Unit
2 | 2 | 1 | 2 | 6 | 4 | 1 | 0
6 | 2 | 3 | 3 | 3 | 13 | 5 | 0 | 2 | 0.0 | 0.2409066 | 2 | 0 | 1.0 | 1 | 1 | 0 | 1 | 1
7 | 4 | 2 | 1 | 2 | 6 | 4 | 1 | 1 | 0.5970149 | -0.40298507 | 1 | 1 | 1.0 | 1 | 1 | 0 | 1 | 1
8 | 4 | 2 | 1 | 1 | 6 | 4 | 1 | 0 | 0.69661015 | 0.19661017 | 1 | 0 | 0.5 | 1 | 1 | 0 | 0 | 2
9 | 4 | 2 | 1 | 1 | 6 | 4 | 1 | 0 | 1.1245902 | 0.124590166 | 1 | 0 | 1.0 | 1 | 1 | 0 | 1 | 1
10 | 4 | 2 | 1 | 1 | 7 | 4 | 1 | 3 | 1.1638656 | 0.66386557 | 1 | 0 | 0.5 | 0 | 1 | 0 | 0 | 1
New Unit
1 | 2 | 4 | 2 | 10 | 7 | 1 | 3
11 | 4 | 2 | 1 | 1 | 7 | 4 | 1 | 3 | 0.0 | 0.66386557 | 1 | 0 | 0.5 | 0 | 1 | 0 | 0 | 1
